Order ID,Order Date,Region,Customer Name,Product Category,Sub-category,Sales,Quantity,Discount,Profit,Year,Month
ORD-1000,2023-09-19,East,Patricia Hunter,Office Supplies,Storage,1055.46,5,0.1,279.74,2023,2023-09
ORD-1001,2024-01-22,West,Jennifer Yang,Technology,Machines,1452.76,10,0.2,325.32,2024,2024-01
ORD-1002,2023-03-06,East,Elizabeth Walton,Office Supplies,Labels,1598.43,8,0.2,322.09,2023,2023-03
ORD-1003,2022-10-10,South,Donald Wagner,Office Supplies,Storage,1994.63,5,0.3,292.81,2022,2022-10
ORD-1004,2023-10-03,East,Lauren Harrington,Technology,Copiers,1517.62,3,0.3,94.82,2023,2023-10
ORD-1005,2022-10-27,East,Veronica Sloan,Office Supplies,Paper,172.97,4,0.1,41.75,2022,2022-10
ORD-1006,2022-10-14,East,Patricia Savage,Furniture,Tables,1632.88,2,0.0,254.95,2022,2022-10
ORD-1007,2023-02-11,East,Stacy Weiss,Furniture,Tables,1616.99,1,0.2,245.45,2023,2023-02
ORD-1008,2023-07-14,West,Stephanie Howard,Furniture,Tables,890.18,8,0.3,131.24,2023,2023-07
ORD-1009,2022-07-05,East,Troy Nguyen,Office Supplies,Labels,1267.74,2,0.0,229.92,2022,2022-07
ORD-1010,2023-01-05,South,Jessica Davidson,Furniture,Bookcases,1633.25,1,0.2,344.01,2023,2023-01
ORD-1011,2024-11-02,South,Carl Gordon,Technology,Accessories,1054.4,4,0.0,82.44,2024,2024-11
ORD-1012,2024-05-30,Central,Rachel Alvarez,Office Supplies,Labels,1313.29,1,0.3,110.22,2024,2024-05
ORD-1013,2025-01-16,Central,Laura Bauer,Office Supplies,Labels,210.3,5,0.2,46.65,2025,2025-01
ORD-1014,2024-08-09,South,Annette Nguyen,Technology,Accessories,443.33,9,0.2,22.78,2024,2024-08
ORD-1015,2024-03-17,Central,Johnny Gordon,Furniture,Chairs,22.85,7,0.0,3.8,2024,2024-03
ORD-1016,2025-03-10,South,Ricky Sullivan,Furniture,Bookcases,1832.85,8,0.1,214.19,2025,2025-03
ORD-1017,2025-02-04,East,Melissa Herrera,Office Supplies,Paper,1729.25,4,0.0,358.7,2025,2025-02
ORD-1018,2022-08-16,East,Frank Owen,Office Supplies,Storage,206.92,6,0.0,49.07,2022,2022-08
ORD-1019,2024-10-22,West,Johnny Barnes,Office Supplies,Paper,1325.65,8,0.2,179.93,2024,2024-10
ORD-1020,2023-01-15,South,Jason Stark,Office Supplies,Paper,75.46,4,0.3,4.03,2023,2023-01
ORD-1021,2024-05-11,East,Terry Carpenter,Furniture,Bookcases,1275.21,3,0.2,145.06,2024,2024-05
ORD-1022,2024-07-14,South,Lisa Knox,Office Supplies,Labels,65.04,5,0.2,10.96,2024,2024-07
ORD-1023,2024-10-25,South,Logan Rose,Furniture,Chairs,1206.37,4,0.1,184.6,2024,2024-10
ORD-1024,2024-09-20,West,Jeremy Dunn,Furniture,Bookcases,247.12,4,0.3,35.63,2024,2024-09
ORD-1025,2024-10-27,West,Lisa Lin,Office Supplies,Storage,532.56,1,0.1,60.95,2024,2024-10
ORD-1026,2023-04-09,South,Valerie Brown,Technology,Accessories,222.19,7,0.1,39.36,2023,2023-04
ORD-1027,2024-11-29,South,Tyler Pena,Technology,Machines,693.87,3,0.0,89.29,2024,2024-11
ORD-1028,2024-08-31,South,Carol Mata,Technology,Accessories,112.58,1,0.1,17.81,2024,2024-08
ORD-1029,2023-02-14,West,Jeffrey Mosley,Technology,Phones,1515.32,10,0.1,177.46,2023,2023-02
ORD-1030,2023-02-04,Central,Kelsey Bartlett,Furniture,Bookcases,1360.64,8,0.1,160.16,2023,2023-02
ORD-1031,2023-06-20,South,Tracy Watts,Office Supplies,Paper,449.01,1,0.0,80.12,2023,2023-06
ORD-1032,2023-05-20,East,Allison Cobb,Office Supplies,Storage,381.15,2,0.3,52.71,2023,2023-05
ORD-1033,2025-04-11,West,David Riley,Technology,Machines,1901.67,9,0.2,447.69,2025,2025-04
ORD-1034,2022-08-20,Central,James Luna,Office Supplies,Labels,1116.82,1,0.2,195.77,2022,2022-08
ORD-1035,2024-11-10,Central,Kyle Pena,Technology,Copiers,1396.9,3,0.3,188.56,2024,2024-11
ORD-1036,2024-06-14,South,Jennifer Little,Furniture,Tables,1861.46,8,0.3,377.24,2024,2024-06
ORD-1037,2023-10-01,Central,Jeremy Bailey,Technology,Phones,1841.63,3,0.3,196.45,2023,2023-10
ORD-1038,2024-02-12,East,Kathleen Ramos,Office Supplies,Binders,1981.0,6,0.0,343.27,2024,2024-02
ORD-1039,2024-05-05,West,Thomas Wright,Office Supplies,Storage,893.35,10,0.3,33.59,2024,2024-05
ORD-1040,2023-03-02,Central,Morgan Martin,Furniture,Bookcases,858.03,4,0.1,178.58,2023,2023-03
ORD-1041,2023-07-14,Central,Trevor Barrett,Technology,Accessories,793.24,7,0.3,151.95,2023,2023-07
ORD-1042,2023-04-03,South,Carrie White,Furniture,Chairs,426.52,6,0.1,106.28,2023,2023-04
ORD-1043,2024-10-04,South,Patricia Griffin,Office Supplies,Storage,1477.4,5,0.2,289.04,2024,2024-10
ORD-1044,2023-01-05,East,Kenneth Clark,Office Supplies,Labels,1818.11,4,0.3,273.91,2023,2023-01
ORD-1045,2022-12-19,East,Michael Knight,Furniture,Chairs,1788.22,1,0.3,270.82,2022,2022-12
ORD-1046,2024-07-08,Central,Mary Kemp,Office Supplies,Storage,1402.53,10,0.0,200.34,2024,2024-07
ORD-1047,2022-10-03,East,Dustin Cross,Technology,Accessories,1774.77,5,0.1,368.02,2022,2022-10
ORD-1048,2022-07-12,Central,Michael Davis,Furniture,Chairs,740.25,6,0.0,195.3,2022,2022-07
ORD-1049,2024-03-16,East,Elizabeth Jordan,Technology,Machines,947.12,4,0.0,213.63,2024,2024-03
ORD-1050,2025-01-18,West,Cynthia Ellis,Office Supplies,Paper,1891.41,2,0.0,143.4,2025,2025-01
ORD-1051,2024-02-26,Central,Christopher Jackson,Furniture,Bookcases,84.7,9,0.1,7.57,2024,2024-02
ORD-1052,2025-05-12,East,James Rowland,Office Supplies,Storage,1317.47,3,0.1,233.14,2025,2025-05
ORD-1053,2023-08-20,South,Rebecca Greene,Office Supplies,Labels,1188.27,1,0.2,173.98,2023,2023-08
ORD-1054,2025-06-21,South,Jose Singleton,Technology,Accessories,1037.68,9,0.0,162.15,2025,2025-06
ORD-1055,2024-02-05,West,Brooke Gibson,Furniture,Chairs,1097.93,4,0.3,89.78,2024,2024-02
ORD-1056,2024-09-28,Central,Abigail Lewis,Technology,Machines,1567.15,4,0.3,208.56,2024,2024-09
ORD-1057,2022-11-28,East,Rachel Farley,Technology,Phones,1969.92,1,0.3,230.62,2022,2022-11
ORD-1058,2022-12-25,Central,Sally Williams,Technology,Copiers,1640.97,3,0.2,235.35,2022,2022-12
ORD-1059,2022-10-06,South,Joel Lucas,Technology,Machines,120.12,3,0.0,33.41,2022,2022-10
ORD-1060,2025-02-27,East,Kelsey Middleton,Office Supplies,Labels,1081.92,9,0.3,187.93,2025,2025-02
ORD-1061,2023-05-11,Central,Elizabeth Gonzales,Furniture,Bookcases,1959.21,6,0.1,278.87,2023,2023-05
ORD-1062,2023-06-03,West,Anthony Myers,Furniture,Bookcases,636.52,8,0.1,99.24,2023,2023-06
ORD-1063,2023-12-22,East,Tracy Higgins,Technology,Phones,178.97,5,0.0,49.26,2023,2023-12
ORD-1064,2023-07-26,Central,Kelly Jackson,Furniture,Tables,84.79,8,0.3,4.19,2023,2023-07
ORD-1065,2024-12-04,West,Carol Stout,Furniture,Bookcases,1546.97,9,0.3,304.78,2024,2024-12
ORD-1066,2022-08-13,South,Donald Francis,Office Supplies,Storage,746.13,7,0.0,68.03,2022,2022-08
ORD-1067,2025-06-03,East,Johnny Johnson,Office Supplies,Storage,600.37,6,0.0,117.47,2025,2025-06
ORD-1068,2025-06-16,East,Joshua Harris,Office Supplies,Paper,90.88,10,0.0,24.26,2025,2025-06
ORD-1069,2023-07-10,Central,Jason Diaz,Technology,Phones,1822.49,9,0.1,345.46,2023,2023-07
ORD-1070,2024-10-13,Central,Barbara Williamson,Technology,Machines,1390.62,3,0.3,98.68,2024,2024-10
ORD-1071,2024-06-27,South,Mary Hogan,Furniture,Chairs,436.29,2,0.1,97.29,2024,2024-06
ORD-1072,2023-04-10,Central,Joshua Cardenas,Technology,Accessories,1721.22,10,0.3,304.49,2023,2023-04
ORD-1073,2022-10-08,Central,Kenneth Gonzalez,Technology,Accessories,1355.66,3,0.0,404.68,2022,2022-10
ORD-1074,2024-11-10,East,Matthew Kelly,Technology,Machines,586.68,4,0.2,100.86,2024,2024-11
ORD-1075,2023-11-27,East,Laura Kelly,Technology,Accessories,637.93,6,0.3,111.84,2023,2023-11
ORD-1076,2024-11-01,South,Barry Green,Office Supplies,Paper,173.67,4,0.1,15.57,2024,2024-11
ORD-1077,2024-10-14,East,Bryan Washington,Technology,Phones,1367.02,1,0.0,191.6,2024,2024-10
ORD-1078,2023-06-15,West,Thomas Calhoun,Office Supplies,Storage,1023.99,9,0.0,279.07,2023,2023-06
ORD-1079,2023-02-28,West,Andrew Sanchez,Office Supplies,Labels,1482.84,10,0.1,327.19,2023,2023-02
ORD-1080,2024-11-02,East,Laura Anderson,Furniture,Bookcases,1399.09,1,0.2,187.4,2024,2024-11
ORD-1081,2025-04-16,East,Penny Davis,Technology,Phones,1023.75,3,0.1,215.38,2025,2025-04
ORD-1082,2023-07-28,Central,Austin Murray,Furniture,Tables,1384.26,3,0.2,178.82,2023,2023-07
ORD-1083,2024-10-26,East,Nicholas Mullen,Office Supplies,Labels,998.76,10,0.3,172.83,2024,2024-10
ORD-1084,2022-08-09,South,Samantha Smith,Technology,Accessories,1588.94,1,0.1,339.05,2022,2022-08
ORD-1085,2024-08-29,East,Adam Watkins,Technology,Phones,130.59,10,0.3,18.34,2024,2024-08
ORD-1086,2023-02-07,West,Eddie Charles,Furniture,Chairs,1096.97,3,0.2,254.0,2023,2023-02
ORD-1087,2022-07-01,Central,Shannon Patton MD,Office Supplies,Storage,1939.04,8,0.2,183.73,2022,2022-07
ORD-1088,2025-04-26,South,Tamara Williamson,Office Supplies,Labels,877.58,2,0.3,80.8,2025,2025-04
ORD-1089,2022-12-26,Central,Janice Johnson,Furniture,Bookcases,461.3,8,0.1,43.45,2022,2022-12
ORD-1090,2024-04-28,Central,Michael Payne,Technology,Phones,1866.01,9,0.3,304.99,2024,2024-04
ORD-1091,2023-12-30,South,Jennifer Carter,Furniture,Chairs,710.85,4,0.1,44.25,2023,2023-12
ORD-1092,2024-06-05,West,Kenneth Brady,Furniture,Bookcases,1812.98,5,0.3,371.42,2024,2024-06
ORD-1093,2025-02-23,South,Amanda Carroll,Furniture,Chairs,1733.42,3,0.0,442.45,2025,2025-02
ORD-1094,2022-09-18,West,Richard Rivera,Office Supplies,Labels,62.48,8,0.3,9.58,2022,2022-09
ORD-1095,2023-06-28,Central,Albert Warren Jr.,Technology,Machines,811.21,10,0.1,96.76,2023,2023-06
ORD-1096,2023-05-22,West,Lisa George,Office Supplies,Labels,15.46,2,0.1,3.87,2023,2023-05
ORD-1097,2025-01-21,South,April Fisher MD,Furniture,Bookcases,1090.95,8,0.3,206.17,2025,2025-01
ORD-1098,2025-02-04,South,Dr. Eduardo Powell,Technology,Copiers,1180.61,4,0.2,103.0,2025,2025-02
ORD-1099,2025-04-02,West,Kelly Johnson,Furniture,Tables,1390.05,3,0.1,285.27,2025,2025-04
ORD-1100,2024-07-30,Central,Ashlee Nguyen,Technology,Machines,40.19,10,0.3,3.88,2024,2024-07
ORD-1101,2025-02-24,South,Renee Johnson,Office Supplies,Labels,638.3,9,0.2,39.48,2025,2025-02
ORD-1102,2023-09-09,Central,Timothy Thompson,Technology,Machines,770.42,3,0.3,66.19,2023,2023-09
ORD-1103,2024-03-20,East,John Mclean,Furniture,Tables,871.21,1,0.2,40.27,2024,2024-03
ORD-1104,2025-03-31,East,Misty Contreras,Furniture,Tables,1479.89,9,0.1,214.73,2025,2025-03
ORD-1105,2023-10-28,Central,Tracy Fowler,Office Supplies,Storage,1220.39,1,0.3,81.86,2023,2023-10
